# When publishing work using this dataset please cite the following reference:
# Brylinski M, Skolnick J. (2008) What is the relationship between the global 
# structures of apo and holo proteins? Proteins 70, 363-77.
#
# Format: #_of_domains(PDP) #_of_conformers PDB_codes

   1   4  101m_ 1mtk_ 1mtj_ 1mym_
   2  17  10gsA 3pgtB 8gssA 2a2rA 2a2sB 1zgnB 20gsB 19gsA 11gsB 7gssB 2gssA 18gsA 12gsA 5gssB 9gssB 6gssA 13gsA
   1  66  1a00A 1yvqC 1mkoC 1nejC 1m9pC 1bbbC 1buwA 1yffG 1yziA 1fn3C 1yvtA 1hhoA 1k1kA 2dn3A 1yeuA 1yieA 1yeoA 1ljwA 1rqaC 2d5zA 1ye0A 1a3nA 2d60A 2hbsC 1yihA 1gzxA 6hbwC 1c7dA 1rq4A 1o1pA 1yh9C 1y7dA 1yheA 1ye2C 1y46A 1rpsC 1y5kC 1y7gA 1y4rA 1y31A 1y4qA 2dn2C 1y5jA 1y35A 1y4vA 1y4pA 1y83A 2hhbC 1y4fA 1y4bA 1bz1C 1rq3A 1dxuC 1y85C 1xz2C 1dxvC 1hbaC 1bz0C 1dxtC 1y7zC 1y5fC 1xxtC 1y0wC 1y45C 1a01C 1a0zA
   1   6  1a07A 1y57A 1a09A 1a08A 1a1cA 1a1bA
   2   2  1a0fA 1n2aA
   2   2  1a27_ 1i5rA
   1   2  1a28B 1sr7B
   1   2  1a2b_ 1cxzA
   1  10  1a46H 2c90B 2c8zB 2c8xB 2c8wB 1sb1H 2c8yB 2c93B 1o2gH 1a61H
   1   3  1a4h_ 2brcA 1bgq_
   2   3  1a4iA 1diaA 1digA
   1   2  1a4mA 2ada_
   2   2  1a5sB 1beuB
   1   3  1a5v_ 1a5w_ 1a5x_
   2   2  1a8a_ 1a8b_
   1   2  1a8gA 1ebyB
   1   2  1a95B 1a96C
   1  17  1aa4_ 2eutA 2eunA 2eurA 2euuA 2eupA 2eusA 2euqA 2as3A 2as6A 2as2A 1cpf_ 2as1A 2aqdA 1cpe_ 1cpd_ 2as4A
   1  11  1ab9B 1yphD 1p2qA 1ca0G 1hjaB 1n8oB 4vgcB 2vgcB 3vgcB 1afqB 1vgcB
   2   4  1af2A 1ctu_ 1ctt_ 1aln_
   1   2  1afa1 1afb2
   1   6  1afqC 1ca0H 1yphE 1hjaC 1n8oC 1p2qA
   4   6  1ai4B 1ai7B 1ajqB 1ai5B 1ajnB 1ajpB
   2   7  1akd_ 1dz9B 1o76B 1dz8B 1uyuB 1dz4B 1dz6B
   1   3  1akq_ 1aku_ 1akv_
   2   2  1aky_ 2aky_
   2   3  1al6_ 6cscA 1amz_
   2   3  1aofA 1aoqA 1aomB
   4   2  1aogA 1bzlA
   2   7  1aqdA 1d5xA 1fv1A 1j8hA 1jwuA 1sjeA 1t5wA
   2   8  1aqdB 1kluB 1sjhB 1sjeB 1pywB 1t5xB 2g9hB 1t5wB
   3   3  1aqm_ 1g94A 1g9hA
   1   2  1aquB 1aqyB
   1   6  1awqA 1awvB 1nmkA 1yndB 1awrB 1awuA
   1   3  1ayx_ 2f6dA 2fbaA
   1   3  1azm_ 1czm_ 1bzm_
   1   2  1azsB 1cs4B
   1  17  1b0dA 1jttL 1ri8B 1zvyB 1t3pA 2blxA 2blyA 1dpwA 1h87A 1yikA 1lzc_ 1yilA 1n4fA 1ykzX 1jj0A 1uih_ 1yl1X
   2  26  1b0gA 2bsuD 1lp9H 2bsvD 2f53A 1i4fA 1tvhD 1tvbA 1qewA 1ogaA 1im3M 1t20A 1s8dA 1t1yA 1t1wA 1t1xA 1t1zA 2bnrA 2c7uD 2bnqA 1duzA 2gitA 1eezA 1duyD 1i1yD 1eeyD
   1   3  1b11A 1fivA 4fiv_
   1   2  1b2vA 1dk0B
   2   3  1b38A 1pxlA 1b39A
   1   9  1b42_ 1vp3_ 1jszA 1v39_ 3mag_ 1p39_ 2vp3_ 1bky_ 3mct_
   1   2  1b5eA 1b5dA
   2   2  1b63A 1nhiA
   1   2  1b7vA 1c75A
   2   2  1b8fA 1gkmA
   3   3  1b9jA 1olcA 2olbA
   1   3  1b9sA 1b9tA 1b9vA
   1   2  1bbzA 1opkA
   3   2  1bc5A 1af7_
   3   2  1bfd_ 1ynoA
   1   2  1bfn_ 1q6cA
   1   3  1bfvH 2bfvH 1cfvH
   3   2  1bg0_ 1m15A
   2   2  1bif_ 3bifA
   4  10  1bj5_ 1n5uA 1gniA 1e7fA 1ha2A 2bxmA 1h9zA 1e7cA 1hk4A 1e7gA
   1  13  1bk0_ 1w05A 1oc1A 1w06A 1w04A 1uzwA 1hb2A 2bu9A 1w03A 1odmA 1w3vA 1hb3A 1w3xA
   1   7  1bm7A 1y1dA 1u21B 1z7jB 1tt6A 2b15B 1tz8C
   1   4  1bmqA 2h48A 1rwkA 1rwnA
   1   4  1bmqB 2hbrB 2hbqB 1rwnB
   1   2  1br5A 1br6A
   1   2  1bs1A 1damA
   1   5  1bs4A 1bs6C 1bs8C 1bszC 1icjC
